City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Port Shepstone,ZA,2021-10-31 18:10:49,-30.7414,30.455,67.14,83,2,4.47
128,Itamaraca,BR,2021-10-31 18:10:50,-7.7478,-34.8256,84.88,64,60,9.98
129,Saint-Pierre,RE,2021-10-31 18:10:53,-21.3393,55.4781,73.08,73,0,5.75
130,Komsomolskiy,UZ,2021-10-31 18:10:54,40.4272,71.7189,47.62,65,94,4.61
131,Narsaq,GL,2021-10-31 18:10:54,60.9167,-46.05,30.42,69,58,4.88
132,Shimanovsk,RU,2021-10-31 18:10:55,52.0,127.7,27.07,43,30,5.03
133,Terney,RU,2021-10-31 18:10:55,45.0503,136.6092,45.14,86,100,5.39
134,Comodoro Rivadavia,AR,2021-10-31 18:10:55,-45.8667,-67.5,49.86,57,0,14.97
135,Belyy Yar,RU,2021-10-31 18:10:56,53.6039,91.3903,35.85,77,0,6.71
136,Roma,US,2021-10-31 18:08:41,43.2128,-75.4557,54.95,93,90,1.01
137,Bonavista,CA,2021-10-31 18:11:12,48.6499,-53.1147,47.12,81,13,12.57
138,Katsuura,JP,2021-10-31 18:09:15,35.1333,140.3,61.11,93,94,9.15
139,Olafsvik,IS,2021-10-31 18:11:13,64.8945,-23.7142,35.69,70,21,18.57
140,Muros,ES,2021-10-31 18:11:14,42.7762,-9.0603,59.09,92,100,6.38
141,Ostrovnoy,RU,2021-10-31 18:11:14,68.0531,39.5131,29.01,92,77,3.53
142,Am Timan,TD,2021-10-31 18:11:14,11.0297,20.2827,83.86,24,68,4.03
143,Mounana,GA,2021-10-31 18:11:15,-1.4085,13.1586,72.1,96,99,2.28
144,Upernavik,GL,2021-10-31 18:11:16,72.7868,-56.1549,33.06,98,100,17.18
145,Nikolskoye,RU,2021-10-31 18:11:16,59.7035,30.7861,47.01,84,56,8.41
146,Guozhen,CN,2021-10-31 18:11:17,34.3659,107.359,54.57,78,100,2.13
147,Bukama,CD,2021-10-31 18:11:18,-9.2,25.85,73.44,80,67,4.56
148,Benguela,AO,2021-10-31 18:11:18,-12.5763,13.4055,75.49,78,79,7.27
149,Hami,CN,2021-10-31 18:11:19,42.8,93.45,50.18,43,48,2.46
150,Doha,QA,2021-10-31 18:11:20,25.2867,51.5333,80.58,69,0,8.05
